Ano;Mês;Região;Meta_Receita;Meta_Lucro;Meta_Pedidos
2023;4;Norte;146072.17;36518.04;53
2023;4;Nordeste;91609.86;22902.46;63
2023;4;Centro-Oeste;233869.62;58467.41;140
2023;5;Sul;245977.43;61494.36;56
2023;5;Sudeste;202538.52;50634.63;123
2023;5;Norte;119023.95;29755.99;47
2023;5;Nordeste;249095.15;62273.79;115
2023;5;Centro-Oeste;249428.96;62357.24;87
2023;6;Sul;240342.73;60085.68;94
2023;6;Sudeste;134060.15;33515.04;126
2023;6;Norte;95861.41;23965.35;54
2023;6;Nordeste;100039.54;25009.89;95
2023;6;Centro-Oeste;88171.27;22042.82;122
2023;7;Sul;90790.31;22697.58;50
2023;7;Sudeste;232866.96;58216.74;125
2023;7;Norte;204077.02;51019.25;150
2023;7;Nordeste;193589.69;48397.42;122
2023;7;Centro-Oeste;212585.3;53146.33;126
2023;8;Sul;184478.8;46119.7;117
2023;8;Sudeste;237448.08;59362.02;65
2023;8;Norte;90078.84;22519.71;81
2023;8;Nordeste;140720.13;35180.03;135
2023;8;Centro-Oeste;166354.64;41588.66;103
2023;9;Sul;178737.56;44684.39;57
2023;9;Sudeste;90126.5;22531.62;140
2023;9;Norte;105609.38;26402.35;54
2023;9;Nordeste;214421.18;53605.3;144
2023;9;Centro-Oeste;192667.49;48166.87;116
2023;10;Sul;153180.72;38295.18;124
2023;10;Sudeste;196879.08;49219.77;129
2023;10;Norte;182901.18;45725.3;148
2023;10;Nordeste;218627.93;54656.98;148
2023;10;Centro-Oeste;83427.86;20856.96;114
2023;11;Sul;199661.76;49915.44;121
2023;11;Sudeste;98315.36;24578.84;137
2023;11;Norte;148775.43;37193.86;110
2023;11;Nordeste;88228.39;22057.1;76
2023;11;Centro-Oeste;141082.73;35270.68;84
2023;12;Sul;107757.14;26939.29;48
2023;12;Sudeste;103966.9;25991.72;46
2023;12;Norte;223233.23;55808.31;141
2023;12;Nordeste;151772.73;37943.18;106
2023;12;Centro-Oeste;100816.36;25204.09;140
2024;1;Sul;126594.48;31648.62;53
2024;1;Sudeste;240042.21;60010.55;111
2024;1;Norte;210675.49;52668.87;72
2024;1;Nordeste;123368.49;30842.12;141
2024;1;Centro-Oeste;217236.41;54309.1;147
2024;2;Sul;87225.19;21806.3;109
2024;2;Sudeste;199249.77;49812.44;128
2024;2;Norte;183901.42;45975.35;53
2024;2;Nordeste;123631.24;30907.81;142
2024;2;Centro-Oeste;211651.48;52912.87;147
2024;3;Sul;120134.58;30033.65;94
2024;3;Sudeste;175866.91;43966.73;73
2024;3;Norte;127683.21;31920.8;85
2024;3;Nordeste;85072.31;21268.08;91
2024;3;Centro-Oeste;81964.33;20491.08;127
2024;4;Sul;217964.36;54491.09;134
2024;4;Sudeste;136510.93;34127.73;104
2024;4;Norte;85904.36;21476.09;145
2024;4;Nordeste;102389.5;25597.37;98
2024;4;Centro-Oeste;124586.87;31146.72;90
2024;5;Sul;153473.73;38368.43;111
2024;5;Sudeste;117474.56;29368.64;119
2024;5;Norte;188405.28;47101.32;146
2024;5;Nordeste;139225.83;34806.46;123
2024;5;Centro-Oeste;86905.67;21726.42;73
2024;6;Sul;104082.13;26020.53;75
2024;6;Sudeste;93289.59;23322.4;58
2024;6;Norte;193076.45;48269.11;124
2024;6;Nordeste;82732.95;20683.24;119
2024;6;Centro-Oeste;141044.74;35261.19;150
2024;7;Sul;249458.19;62364.55;96
2024;7;Sudeste;234309.18;58577.29;62
2024;7;Norte;133753.33;33438.33;64
2024;7;Nordeste;194662.1;48665.52;120
2024;7;Centro-Oeste;170721.18;42680.3;98
2024;8;Sul;149060.19;37265.05;89
2024;8;Sudeste;182819.35;45704.84;116
2024;8;Norte;217091.76;54272.94;64
2024;8;Nordeste;87632.36;21908.09;90
2024;8;Centro-Oeste;239486.33;59871.58;76
2024;9;Sul;164212.74;41053.19;107
2024;9;Sudeste;246669.7;61667.43;91
2024;9;Norte;100988.67;25247.17;77
2024;9;Nordeste;194290.33;48572.58;88
2024;9;Centro-Oeste;231323.29;57830.82;80
2024;10;Sul;179016.55;44754.14;41
2024;10;Sudeste;102907.62;25726.9;140
2024;10;Norte;243528.1;60882.03;89
2024;10;Nordeste;102011.13;25502.78;143
2024;10;Centro-Oeste;155818.37;38954.59;89
2024;11;Sul;94416.4;23604.1;137
2024;11;Sudeste;146339.05;36584.76;57
2024;11;Norte;210683.77;52670.94;109
2024;11;Nordeste;147832.97;36958.24;41
2024;11;Centro-Oeste;210558.92;52639.73;79
2024;12;Sul;181449.9;45362.47;56
2024;12;Sudeste;125911.61;31477.9;91
2024;12;Norte;228941.97;57235.49;116
2024;12;Nordeste;235973.22;58993.3;140
2024;12;Centro-Oeste;194770.86;48692.71;101
